"Brand","Product Name","Link","Image URL","Price","Year"
"Xiaomi","Xiaomi Redmi Note 13 RAM 8GB ROM 128GB","https://www.pricebook.co.id/Xiaomi-Redmi-Note-13-RAM-8GB-ROM-128GB/40/PD_00099517","https://cdn.pricebook.co.id/images/product/M/99517_M_1.jpg","Rp 2.049.000","2024"
"Xiaomi","Xiaomi Redmi Note 13 RAM 8GB ROM 256GB","https://www.pricebook.co.id/Xiaomi-Redmi-Note-13-RAM-8GB-ROM-256GB/40/PD_00099518","https://cdn.pricebook.co.id/images/product/M/99518_M_1.jpg","Rp 2.249.000","2024"
"Xiaomi","Xiaomi Redmi Note 13 5G RAM 8GB ROM 256GB","https://www.pricebook.co.id/Xiaomi-Redmi-Note-13-5G-RAM-8GB-ROM-256GB/40/PD_00099204","https://cdn.pricebook.co.id/images/product/M/99204_M_1.jpg","Rp 2.145.000","2024"
"Xiaomi","Xiaomi Redmi Note 13 Pro 5G RAM 8GB ROM 256GB","https://www.pricebook.co.id/Xiaomi-Redmi-Note-13-Pro-5G-RAM-8GB-ROM-256GB/40/PD_00099205","https://cdn.pricebook.co.id/images/product/M/99205_M_1.jpg","Rp 3.837.000","2024"
"Xiaomi","Xiaomi Redmi Note 13 Pro 5G RAM 12GB ROM 512GB","https://www.pricebook.co.id/Xiaomi-Redmi-Note-13-Pro-5G-RAM-12GB-ROM-512GB/40/PD_00099818","https://cdn.pricebook.co.id/images/product/M/99818_M_1.jpg","Rp 4.399.000","2024"
"Poco","POCO C75 RAM 8GB ROM 256GB","https://www.pricebook.co.id/POCO-C75-RAM-8GB-ROM-256GB/40/PD_00100177","https://cdn.pricebook.co.id/images/product/M/100177_M_1.jpg","Rp 1.565.760","2024"
"Poco","POCO C75 RAM 6GB ROM 128GB","https://www.pricebook.co.id/POCO-C75-RAM-6GB-ROM-128GB/40/PD_00100219","https://cdn.pricebook.co.id/images/product/M/100219_M_1.jpg","Rp 1.275.000","2024"
"Poco","POCO M6 RAM 8GB ROM 256GB","https://www.pricebook.co.id/POCO-M6-RAM-8GB-ROM-256GB/40/PD_00099799","https://cdn.pricebook.co.id/images/product/M/99799_M_1.jpg","Rp 1.820.000","2024"
"Poco","POCO F6 RAM 8GB ROM 256GB","https://www.pricebook.co.id/POCO-F6-RAM-8GB-ROM-256GB/40/PD_00099671","https://cdn.pricebook.co.id/images/product/M/99671_M_1.jpg","Rp 4.695.000","2024"
"Poco","POCO F6 RAM 12GB ROM 512GB","https://www.pricebook.co.id/POCO-F6-RAM-12GB-ROM-512GB/40/PD_00099807","https://cdn.pricebook.co.id/images/product/M/99807_M_1.jpg","Rp 4.814.100","2024"
"Poco","POCO M6 Pro RAM 8GB ROM 256GB","https://www.pricebook.co.id/POCO-M6-Pro-RAM-8GB-ROM-256GB/40/PD_00099079","https://cdn.pricebook.co.id/images/product/M/99079_M_1.jpg","Rp 2.589.000","2024"
"Poco","POCO X6 Pro 5G RAM 12GB ROM 512GB","https://www.pricebook.co.id/POCO-X6-Pro-5G-RAM-12GB-ROM-512GB/40/PD_00099373","https://cdn.pricebook.co.id/images/product/M/99373_M_1.jpg","Rp 3.999.000","2024"
"Poco","POCO X6 5G RAM 12GB ROM 256GB","https://www.pricebook.co.id/POCO-X6-5G-RAM-12GB-ROM-256GB/40/PD_00099446","https://cdn.pricebook.co.id/images/product/M/99446_M_1.jpg","Rp 3.479.000","2024"
"Poco","POCO C65 RAM 6GB ROM 128GB","https://www.pricebook.co.id/POCO-C65-RAM-6GB-ROM-128GB/40/PD_00099329","https://cdn.pricebook.co.id/images/product/M/99329_M_1.jpg","Rp 1.360.000","2024"
"Poco","POCO C65 RAM 8GB ROM 256GB","https://www.pricebook.co.id/POCO-C65-RAM-8GB-ROM-256GB/40/PD_00099330","https://cdn.pricebook.co.id/images/product/M/99330_M_1.jpg","Rp 1.450.000","2024"
"Realme","Realme 13 5G RAM 12GB ROM 256GB","https://www.pricebook.co.id/Realme-13-5G-RAM-12GB-ROM-256GB/40/PD_00100188","https://cdn.pricebook.co.id/images/product/M/100188_M_1.jpg","Rp 3.328.000","2024"
"Realme","Realme 13+ 5G RAM 12GB ROM 256GB","https://www.pricebook.co.id/Realme-13-5G-RAM-12GB-ROM-256GB/40/PD_00100176","https://cdn.pricebook.co.id/images/product/M/100176_M_1.jpg","Rp 3.938.000","2024"
"Realme","Realme C61 RAM 8GB ROM 128GB","https://www.pricebook.co.id/Realme-C61-RAM-8GB-ROM-128GB/40/PD_00100136","https://cdn.pricebook.co.id/images/product/M/100136_M_1.jpg","Rp 1.552.320","2024"
"Realme","Realme 13 Pro+ 5G RAM 12GB ROM 512GB","https://www.pricebook.co.id/Realme-13-Pro-5G-RAM-12GB-ROM-512GB/40/PD_00099834","https://cdn.pricebook.co.id/images/product/M/99834_M_1.jpg","Rp 5.999.000","2024"
"Realme","Realme 13 Pro+ 5G RAM 8GB ROM 256GB","https://www.pricebook.co.id/Realme-13-Pro-5G-RAM-8GB-ROM-256GB/40/PD_00100102","https://cdn.pricebook.co.id/images/product/M/100102_M_1.jpg","Rp 5.979.080","2024"
"Realme","Realme 13 Pro 5G RAM 12GB ROM 256GB","https://www.pricebook.co.id/Realme-13-Pro-5G-RAM-12GB-ROM-256GB/40/PD_00100039","https://cdn.pricebook.co.id/images/product/M/100039_M_1.jpg","Rp 4.999.000","2024"
"Realme","Realme Note 60 RAM 6GB ROM 128GB","https://www.pricebook.co.id/Realme-Note-60-RAM-6GB-ROM-128GB/40/PD_00100012","https://cdn.pricebook.co.id/images/product/M/100012_M_1.jpg","Rp 1.249.000","2024"
