"id"|"Brand"|"Tahun Rilis"|"Nama Produk"|"Jaringan"|"Material"|"SIM Slots"|"Technology"|"Ukuran Layar"|"Screen Resolution"|"OS Version & Version Detail"|"Prosesor"|"GPU"|"RAM (GB)"|"Memori Internal (GB)"|"NFC"|"USB"|"Kapasitas Baterai"|"Daya Fast Charging"|"Waterproof"|"Sensor"|"3.5mm Jack"|"Resolusi Kamera Belakang"|"Resolusi Kamera Utama Lainnya"|"Dual Kamera Belakang"|"Jumlah Kamera Belakang"|"Resolusi Kamera Depan"|"Dual Kamera Depan"|"Flash"|"Dual Flash"|"Video"|"Harga"
"141"|"Realme"|"Android 2024"|"Note 50"|"3G, 4G"|"Glass front, plastic frame, plastic back"|"2"|"IPS LCD"|"6.74"|"1600 x 720"|"Android 13, Realme UI T"|"Unisoc, Tiger T612, Octa"|"Mali-G57"|"4 GB"|"128 GB"|"No"|"Type-C"|"5000"|"10 W"|"True"|"Fingerprint, Accelerometer, Proximity, Compass"|"True"|"13"|"0.08"|"True"|"2"|"5"|"No"|"True"|"No"|"1080p@30fps"|"Rp 1.238.000"
"142"|"Realme"|"Android 2024"|"Note 50"|"3G, 4G"|"Glass front, plastic frame, plastic back"|"2"|"IPS LCD"|"6.74"|"1600 x 720"|"Android 13, Realme UI T"|"Unisoc, Tiger T612, Octa"|"Mali-G57"|"3 GB"|"64 GB"|"No"|"Type-C"|"5000"|"10 W"|"True"|"Fingerprint, Accelerometer, Proximity, Compass"|"True"|"13"|"0.08"|"True"|"2"|"5"|"No"|"True"|"No"|"1080p@30fps"|"Rp 1.149.000"
"145"|"Infinix"|"Android 2024"|"Hot 50 Pro+ 4G"|"3G, 4G"|"Glass front, plastic back, plastic frame"|"2"|"AMOLED"|""|"2436 x 1080"|"Android 14, XOS 14.5"|"MediaTek, Helio G100, Octa"|"Mali-G57 MC2"|"8 GB"|"256 GB"|"True"|"Type-C, USB OTG"|"5000"|"33 W"|"True"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass"|"True"|"50"|"2"|"True"|"3"|"13"|"No"|"True"|"No"|"1440p@30fps, 1080p@30/60fps"|"Rp 2.351.020"
"159"|"Infinix"|"Android 2024"|"Smart 8 Pro"|"3G, 4G"|"Glass front, plastic back, plastic frame"|"2"|"IPS LCD"|"6.6"|"1612 x 720"|"Android 13, XOS 13"|"MediaTek, Helio G36, Octa"|"PowerVR GE8320"|"8 GB"|"128 GB"|"No"|"Type-C, USB OTG"|"5000"|"10 W"|"No"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass"|"True"|"50"|"0.08"|"True"|"1"|"8"|"No"|"True"|"No"|"1080p@30fps"|"Rp 1.270.000"
"160"|"Infinix"|"Android 2024"|"Smart 8 Pro"|"3G, 4G"|"Glass front, plastic back, plastic frame"|"2"|"IPS LCD"|"6.6"|"1612 x 720"|"Android 13, XOS 13"|"MediaTek, Helio G36, Octa"|"PowerVR GE8320"|"4 GB"|"256 GB"|"No"|"Type-C, USB OTG"|"5000"|"10 W"|"No"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass"|"True"|"50"|"0.08"|"True"|"1"|"8"|"No"|"True"|"No"|"1080p@30fps"|"Rp 1.199.000"
"161"|"Infinix"|"Android 2024"|"Smart 8 Plus"|"3G, 4G"|"Glass front, plastic back, plastic frame"|"2"|"IPS LCD"|"6.6"|"1612 x 720"|"Android 13, XOS 13"|"MediaTek, Helio G36, Octa"|"PowerVR GE8320"|"4 GB"|"128 GB"|"No"|"Type-C, USB OTG"|"6000"|"18 W"|"No"|"Fingerprint, Accelerometer, Proximity, Compass"|"True"|"50"|"0.08"|"True"|"2"|"8"|"No"|"True"|"No"|"1080p@30fps"|"Rp 1.182.000"
"170"|"itel"|"Android 2024"|"RS4"|"3G, 4G"|"Glass front, plastic frame, glass back"|"2"|"IPS LCD"|"6.6"|"1612 x 720"|"Android 13, Itel OS 13.5"|"MediaTek, Helio G99 Ultimate, Octa"|"Mali-G52 MC2"|"8 GB"|"256 GB"|"True"|"Type-C"|"5000"|"45 W"|"No"|"Fingerprint, Accelerometer, Proximity, Compass"|"True"|"50"|"0.3"|"True"|"2"|"8"|"No"|"True"|"No"|"2K@30fps"|"Rp 1.649.000"
"171"|"itel"|"Android 2024"|"RS4"|"3G, 4G"|"Glass front, plastic frame, glass back"|"2"|"IPS LCD"|"6.6"|"1612 x 720"|"Android 13, Itel OS 13.5"|"MediaTek, Helio G99 Ultimate, Octa"|"Mali-G57 MC2"|"12 GB"|"256 GB"|"True"|"Type-C"|"5000"|"45 W"|"No"|"Fingerprint, Accelerometer, Proximity, Compass"|"True"|"50"|"0.3"|"True"|"2"|"8"|"No"|"True"|"No"|"2K@30fps"|"Rp 1.821.000"
"172"|"itel"|"Android 2024"|"RS4"|"3G, 4G"|"Glass front, plastic frame, glass back"|"2"|"IPS LCD"|"6.6"|"1612 x 720"|"Android 13, Itel OS 13.5"|"MediaTek, Helio G99 Ultimate, Octa"|"Mali-G57 MC2"|"8 GB"|"128 GB"|"True"|"Type-C"|"5000"|"45 W"|"No"|"Fingerprint, Accelerometer, Proximity, Compass"|"True"|"50"|"0.3"|"True"|"2"|"8"|"No"|"True"|"No"|"2K@30fps"|"Rp 1.549.900"
"180"|"Tecno"|"Android 2024"|"Spark 20 Pro"|"3G, 4G"|"Glass front, plastic back, plastic frame"|"2"|"IPS LCD"|"6.78"|"2460 x 1080"|"Android 13, HiOS"|"MediaTek, Helio G99 Ultra Boost, Octa"|"Mali-G57 MC2"|"8 GB"|"256 GB"|"True"|"Type-C"|"5000"|"33 W"|"True"|"Fingerprint, Accelerometer, Proximity, Compass"|"True"|"108"|"2"|"True"|"2"|"32"|"No"|"True"|"True"|"1440p@30fps, 1080p@30fps"|"Rp 1.715.000"
